prolific_id,n_hit,n_fa,n_miss,n_cr,acc_407,sum,dprime,beta,aprime,bppd,c
5ee8ceb850ff321f9c977c5c,19,2,11,28,78%,60,1.730036408,2.526479843,0.875469925,-0.018181818,0.535726857
5eea42003e537f10bc27959d,29,19,1,11,67%,60,1.331406264,0.265871577,0.813479624,0.28,-0.994994479
5eeaa0ffaa6af11cf32ce057,18,16,12,14,53%,60,0.164058933,0.973616497,0.563492063,0.058823529,-0.162976757
5eeb414cfe8e6a02516fc245,24,3,6,27,85%,60,2.018773173,1.503025941,0.913194444,0.38121547,0.201845544
5eeb78fa8931bf2d402dae9e,15,10,15,20,58%,60,0.41598722,1.090376101,0.645833333,-0.084745763,0.20799361
5eec906e64e58301daaca6c0,25,2,5,28,88%,60,2.325989621,1.738468608,0.935357143,0.035616438,0.237750251
5eed15f46a9e0d11f19f405d,21,14,9,16,62%,60,0.586880945,0.882754453,0.692708333,0.257142857,-0.212493182
5eed229c7c5a171282476bb8,21,8,9,22,72%,60,1.10611243,1.053505158,0.802489177,0.717073171,0.047122561
5eef09eb6db5543c11297022,22,4,8,26,80%,60,1.657593004,1.46075751,0.877622378,-0.466389369,0.228617726
5ef5d56a65a4f102ee59634d,22,1,8,29,85%,60,2.260876387,3.316304283,0.919670846,0.12,0.530259417
5ef9a3f085fd347438975462,27,16,3,13,68%,59,1.085570784,0.484011675,0.790974064,0.761206476,-0.668446739
5efa06a7540ce97e3ed866f8,16,8,14,22,63%,60,0.681126066,1.193429446,0.715909091,0.267053263,0.259615743
5efa131512ad19803bc3d2fd,13,1,17,28,69%,59,1.482424254,3.817440136,0.83337991,1,0.9036415
5efd2964d36f63162f263795,21,4,8,26,80%,59,1.630381777,1.484260279,0.874392657,-0.019699266,0.24222334
5effb373e52eda0a74ec4015,16,0,13,30,78%,59,2.266859468,9.82047321,0.887931034,-0.317123944,1.007768387
5f0094fc2e1a9e1b4ea12b2e,17,12,10,17,61%,56,0.529067758,0.97178036,0.677747727,0.257919351,-0.054105485
5f01bf065d902430eb9e209b,26,7,3,23,83%,59,1.891906384,0.628041055,0.901202764,0.378800936,-0.24586298
5f07c1e322eb5a4022095cbd,18,5,11,25,73%,59,1.221982398,1.46816317,0.819077267,-0.145888594,0.314253361
5f09cb729bf14505753e5bd8,21,3,8,27,81%,59,1.784199679,1.767198866,0.888847838,0.12,0.319132291
5f0b062853f8960008793934,23,18,7,12,58%,60,0.45508399,0.806501817,0.658514493,-0.018776499,-0.472548218
5f1036d3e4b5530008812141,16,8,14,22,63%,60,0.681126066,1.193429446,0.715909091,-0.044510386,0.259615743
5f10d1960878f0401ddc72ba,20,10,9,20,68%,59,0.893027649,0.973107129,0.762787356,-0.07063197,-0.030526604
5f1164d8aca7f8000cca2709,23,8,7,22,75%,60,1.300268989,0.937108816,0.833498024,-0.014925373,-0.049955718
5f1733f79af14006b505ed46,25,6,5,24,82%,60,1.732785602,0.903049888,0.887916667,-0.733333333,-0.058851759
5f1ddd17b44cb7301bc337ef,18,17,11,12,52%,58,0.086309444,0.978351156,0.534722222,0.717073171,-0.253583116
5f1f19934d3c1c0c62cb319e,24,13,1,12,72%,50,1.526221892,0.289883621,0.84375,-0.27121572,-0.811334019
5f207db04d3c1c3935e1b821,22,1,8,29,85%,60,2.260876387,3.316304283,0.919670846,-0.169435216,0.530259417
5f22c8019c9a3b0008eb2f22,24,14,5,16,68%,59,0.983682082,0.667518069,0.778208812,0.291590622,-0.410893751
5f2345de5a990d0f6226443c,25,8,5,22,78%,60,1.525423336,0.780413426,0.863181818,0.601043643,-0.162532892
5f26d665a193a500095f564e,23,3,6,27,85%,59,1.994732506,1.532047718,0.911006997,-0.285714286,0.213865878
5f2a942116fd782e845c42e9,15,2,14,28,73%,59,1.442534359,2.664909745,0.838467433,0.483870968,0.679477882
5f3244131f74f3194ba62f1b,25,15,5,15,67%,60,0.92524456,0.651786159,0.766666667,-0.330578512,-0.46262228
5f32b3927efd290120b866c7,23,2,7,28,85%,60,2.100835274,2.087527206,0.91576087,0.090909091,0.350327424
5f37f709b66267082f6f3992,27,7,3,23,83%,60,1.911322344,0.613559224,0.90257649,0.44137931,-0.255570959
5f380897822a9e2bfd9c5963,9,6,12,15,57%,42,0.365772017,1.138503708,0.633333333,0.135135135,0.354633098
5f3ac193f436407465a3d08e,19,3,11,27,77%,60,1.540523478,1.972546291,0.858674464,-1.73E-16,0.440970392
5f3cf75f2982e903fb34b9f6,21,6,9,24,75%,60,1.313474696,1.219056058,0.834821429,-0.157068063,0.150803694
5f3e8dbbf008950bf0646f39,24,6,6,24,80%,60,1.615082084,1,0.875,0.59566787,0
5f45282b8515140ace81cb44,23,13,7,17,67%,60,0.862519585,0.793048022,0.755754476,-0.081615143,-0.26883042
5f4557043bf01d125f02f01a,17,2,13,28,75%,60,1.563174434,2.632283479,0.854516807,-0.032852318,0.619157844
